,Region,Total_GW_count,Total,Total_GW_min,Total_GW_max,Total_GW_mean,coal_GW_count,coal_GW,coal_GW_min,coal_GW_max,coal_GW_mean,naturalGas_GW_count,naturalGas_GW,naturalGas_GW_min,naturalGas_GW_max,naturalGas_GW_mean,petroleum_GW_count,petroleum_GW,petroleum_GW_min,petroleum_GW_max,petroleum_GW_mean,hydropower_GW_count,hydropower_GW,hydropower_GW_min,hydropower_GW_max,hydropower_GW_mean,hydropowerPS_GW_count,hydropowerPS_GW,hydropowerPS_GW_min,hydropowerPS_GW_max,hydropowerPS_GW_mean,nuclear_GW_count,nuclear_GW,nuclear_GW_min,nuclear_GW_max,nuclear_GW_mean,pv_GW_count,pv_GW,pv_GW_min,pv_GW_max,pv_GW_mean,wind_GW_count,wind_GW,wind_GW_min,wind_GW_max,wind_GW_mean,geothermal_GW_count,geothermal_GW,geothermal_GW_min,geothermal_GW_max,geothermal_GW_mean,biopower_GW_count,biopower_GW,biopower_GW_min,biopower_GW_max,biopower_GW_mean,battery_GW_count,battery,battery_GW_min,battery_GW_max,battery_GW_mean
0,Alabama,584.0,162.7,0.0,3.8,0.3,45.0,35.9,0.0,3.2,0.8,85.0,34.7,0.0,1.9,0.4,69.0,1.9,0.0,0.4,0.0,83.0,8.6,0.0,2.4,0.1,27.0,16.4,0.0,3.0,0.6,29.0,51.7,0.6,3.8,1.8,78.0,1.0,0.0,0.2,0.0,68.0,4.6,0.0,0.3,0.1,29.0,2.8,0.0,0.6,0.1,57.0,1.8,0.0,0.1,0.0,40.0,0.8,0.0,0.3,0.0
1,Alaska,1049.0,200.0,0.0,3.1,0.2,57.0,47.0,0.0,3.1,0.8,165.0,51.9,0.0,2.8,0.3,180.0,2.9,0.0,0.4,0.0,162.0,8.5,0.0,1.0,0.0,22.0,16.0,0.0,3.0,0.7,33.0,54.9,0.8,2.6,1.7,161.0,2.4,0.0,0.3,0.0,141.0,10.6,0.0,0.3,0.1,36.0,1.1,0.0,0.1,0.0,109.0,2.4,0.0,0.1,0.0,50.0,0.8,0.0,0.3,0.0
2,Arizona,764.0,150.7,0.0,3.9,0.2,35.0,27.0,0.0,3.2,0.8,133.0,44.5,0.0,1.6,0.3,100.0,2.6,0.0,0.5,0.0,107.0,7.2,0.0,1.3,0.1,21.0,10.8,0.0,2.2,0.5,24.0,42.1,0.6,3.9,1.8,151.0,3.8,0.0,0.4,0.0,100.0,9.1,0.0,0.4,0.1,27.0,0.8,0.0,0.1,0.0,69.0,1.3,0.0,0.1,0.0,34.0,0.4,0.0,0.0,0.0
3,Arkansas,404.0,87.0,0.0,3.9,0.2,28.0,25.3,0.0,3.1,0.9,61.0,20.1,0.0,2.4,0.3,59.0,1.6,0.0,0.2,0.0,58.0,3.5,0.0,0.4,0.1,6.0,2.0,0.0,1.1,0.3,16.0,26.7,0.6,3.9,1.7,75.0,1.1,0.0,0.2,0.0,47.0,4.4,0.0,0.5,0.1,17.0,0.5,0.0,0.1,0.0,41.0,1.1,0.0,0.1,0.0,22.0,0.3,0.0,0.1,0.0
4,California,7841.0,1244.2,0.0,7.1,0.2,426.0,348.5,0.0,3.4,0.8,1451.0,359.6,0.0,2.6,0.2,1156.0,33.1,0.0,1.6,0.0,1185.0,74.2,0.0,6.8,0.1,81.0,53.8,0.0,3.0,0.7,119.0,218.4,0.6,3.9,1.8,1576.0,30.7,0.0,0.6,0.0,1064.0,93.1,0.0,0.7,0.1,131.0,5.4,0.0,0.6,0.0,772.0,16.0,0.0,0.1,0.0,326.0,5.3,0.0,0.3,0.0
5,Colorado,1073.0,147.6,0.0,3.9,0.1,56.0,38.4,0.0,3.2,0.7,201.0,47.5,0.0,1.5,0.2,156.0,4.7,0.0,0.5,0.0,160.0,7.2,0.0,2.1,0.0,9.0,5.6,0.0,2.2,0.6,14.0,24.2,0.6,3.9,1.7,237.0,2.2,0.0,0.3,0.0,148.0,13.6,0.0,0.6,0.1,15.0,0.4,0.0,0.1,0.0,115.0,2.7,0.0,0.1,0.0,33.0,0.2,0.0,0.1,0.0
6,Connecticut,514.0,63.8,0.0,7.1,0.1,17.0,10.9,0.0,3.1,0.6,108.0,23.4,0.0,1.5,0.2,63.0,2.4,0.0,0.4,0.0,83.0,11.3,0.0,6.8,0.1,3.0,0.4,0.0,0.3,0.1,4.0,7.0,1.2,2.1,1.8,141.0,2.1,0.0,0.2,0.0,63.0,5.0,0.0,0.3,0.1,4.0,0.1,0.0,0.0,0.0,50.0,0.9,0.0,0.1,0.0,8.0,0.0,0.0,0.0,0.0
7,Delaware,155.0,23.5,0.0,3.0,0.2,6.0,3.8,0.2,1.4,0.6,26.0,10.4,0.0,1.9,0.4,25.0,0.5,0.0,0.1,0.0,23.0,0.5,0.0,0.2,0.0,2.0,1.2,0.0,1.2,0.6,3.0,5.3,1.0,2.6,1.8,30.0,0.2,0.0,0.1,0.0,20.0,0.8,0.0,0.2,0.0,3.0,0.2,0.0,0.1,0.1,18.0,0.2,0.0,0.1,0.0,6.0,0.1,0.0,0.0,0.0
8,District of Columbia,20.0,0.3,0.0,0.1,0.0,0.0,0.0,,,,4.0,0.1,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.1,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,10.0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,0.1,0.1,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
9,Florida,1102.0,207.6,0.0,3.9,0.2,75.0,53.7,0.0,2.5,0.7,175.0,67.7,0.0,3.8,0.4,161.0,5.6,0.0,0.5,0.0,147.0,11.2,0.0,1.3,0.1,18.0,7.8,0.0,2.2,0.4,21.0,37.6,0.6,3.9,1.8,228.0,6.4,0.0,0.2,0.0,139.0,11.6,0.0,0.4,0.1,33.0,1.0,0.0,0.1,0.0,115.0,3.1,0.0,0.1,0.0,56.0,0.4,0.0,0.0,0.0
10,Georgia,1010.0,172.6,0.0,7.1,0.2,64.0,46.2,0.0,3.4,0.7,176.0,58.3,0.0,2.5,0.3,150.0,4.3,0.0,0.4,0.0,156.0,16.3,0.0,6.8,0.1,9.0,5.3,0.2,1.6,0.6,11.0,20.6,1.2,2.6,1.9,218.0,4.5,0.0,0.2,0.0,133.0,11.7,0.0,0.3,0.1,12.0,0.6,0.0,0.1,0.0,115.0,3.3,0.0,0.1,0.0,39.0,0.8,0.0,0.2,0.0
11,Hawaii,350.0,56.1,0.0,3.0,0.2,20.0,15.2,0.0,2.5,0.8,64.0,15.3,0.0,2.1,0.2,54.0,2.7,0.0,0.6,0.0,49.0,2.4,0.0,1.0,0.0,3.0,2.9,0.2,1.6,1.0,6.0,11.2,0.8,2.3,1.9,72.0,1.0,0.0,0.1,0.0,44.0,3.4,0.0,0.3,0.1,8.0,0.3,0.0,0.1,0.0,38.0,1.2,0.0,0.1,0.0,19.0,0.2,0.0,0.0,0.0
12,Idaho,769.0,78.4,0.0,3.7,0.1,28.0,19.0,0.0,3.4,0.7,146.0,33.9,0.0,2.4,0.2,137.0,4.2,0.0,1.6,0.0,135.0,4.9,0.0,0.7,0.0,1.0,0.2,0.2,0.2,0.2,2.0,2.9,1.2,1.7,1.5,144.0,2.9,0.0,0.6,0.0,116.0,8.2,0.0,0.4,0.1,5.0,0.2,0.0,0.1,0.0,93.0,1.6,0.0,0.1,0.0,11.0,0.1,0.0,0.0,0.0
13,Illinois,1319.0,206.8,0.0,3.9,0.2,72.0,51.2,0.0,1.8,0.7,226.0,60.4,0.0,2.4,0.3,173.0,4.3,0.0,1.5,0.0,204.0,14.5,0.0,2.4,0.1,20.0,8.6,0.0,1.6,0.4,22.0,41.0,0.6,3.9,1.9,286.0,3.2,0.0,0.4,0.0,191.0,18.1,0.0,0.6,0.1,25.0,0.7,0.0,0.1,0.0,116.0,2.7,0.0,0.1,0.0,54.0,0.9,0.0,0.1,0.0
14,Indiana,960.0,187.7,0.0,3.1,0.2,62.0,53.3,0.0,3.1,0.9,165.0,58.3,0.0,2.5,0.4,139.0,2.0,0.0,0.2,0.0,139.0,5.6,0.0,1.0,0.0,12.0,9.8,0.0,3.0,0.8,19.0,35.8,1.0,2.6,1.9,190.0,2.1,0.0,0.2,0.0,129.0,16.5,0.0,0.6,0.1,21.0,0.7,0.0,0.1,0.0,96.0,2.0,0.0,0.1,0.0,46.0,0.6,0.0,0.3,0.0
15,Iowa,1581.0,218.5,0.0,3.8,0.1,89.0,75.3,0.0,2.9,0.8,292.0,79.5,0.0,3.8,0.3,255.0,4.3,0.0,0.8,0.0,261.0,13.3,0.0,1.3,0.0,4.0,0.9,0.0,0.4,0.2,8.0,12.9,0.6,2.5,1.6,276.0,4.5,0.0,0.3,0.0,250.0,22.4,0.0,0.5,0.1,10.0,0.3,0.0,0.1,0.0,177.0,3.7,0.0,0.1,0.0,60.0,0.8,0.0,0.2,0.0
16,Kansas,921.0,148.0,0.0,3.1,0.2,59.0,61.3,0.0,3.1,1.0,171.0,38.9,0.0,2.2,0.2,155.0,4.8,0.0,0.8,0.0,144.0,9.1,0.0,2.4,0.1,5.0,1.7,0.0,1.1,0.3,7.0,10.8,0.8,2.2,1.5,157.0,3.0,0.0,0.4,0.0,138.0,14.8,0.0,0.5,0.1,9.0,0.3,0.0,0.1,0.0,112.0,2.3,0.0,0.1,0.0,42.0,0.9,0.0,0.2,0.0
17,Kentucky,297.0,56.5,0.0,2.4,0.2,19.0,20.6,0.3,2.4,1.1,52.0,19.2,0.0,1.5,0.4,41.0,1.9,0.0,0.5,0.0,45.0,2.7,0.0,0.3,0.1,2.0,0.4,0.0,0.4,0.2,5.0,6.3,0.6,2.3,1.2,52.0,1.0,0.0,0.2,0.0,42.0,3.4,0.0,0.3,0.1,5.0,0.1,0.0,0.0,0.0,37.0,0.5,0.0,0.1,0.0,10.0,0.1,0.0,0.0,0.0
18,Louisiana,521.0,126.2,0.0,3.8,0.2,44.0,38.8,0.0,3.4,0.9,93.0,34.3,0.0,2.5,0.4,65.0,1.7,0.0,0.6,0.0,75.0,2.4,0.0,0.2,0.0,9.0,5.5,0.0,1.6,0.6,15.0,29.6,0.6,3.8,2.0,88.0,1.4,0.0,0.3,0.0,68.0,7.6,0.0,0.5,0.1,16.0,1.6,0.0,0.6,0.1,45.0,1.6,0.0,0.1,0.0,23.0,0.2,0.0,0.1,0.0
19,Maine,617.0,92.7,0.0,3.2,0.2,29.0,28.2,0.0,3.2,1.0,107.0,29.1,0.0,2.2,0.3,97.0,3.0,0.0,0.8,0.0,103.0,2.7,0.0,0.4,0.0,4.0,2.5,0.2,1.2,0.6,7.0,13.6,1.2,2.6,1.9,108.0,1.3,0.0,0.2,0.0,93.0,10.1,0.0,0.7,0.1,9.0,0.4,0.0,0.1,0.0,67.0,1.2,0.0,0.1,0.0,25.0,0.4,0.0,0.1,0.0
20,Maryland,538.0,73.4,0.0,2.3,0.1,28.0,23.2,0.0,2.0,0.8,100.0,24.9,0.0,1.6,0.2,73.0,2.6,0.0,0.4,0.0,78.0,2.2,0.0,0.6,0.0,5.0,1.1,0.2,0.2,0.2,6.0,10.6,0.9,2.3,1.8,154.0,1.5,0.0,0.4,0.0,57.0,5.5,0.0,0.3,0.1,8.0,0.4,0.0,0.1,0.0,44.0,1.0,0.0,0.1,0.0,21.0,0.1,0.0,0.0,0.0
21,Massachusetts,1755.0,207.7,0.0,3.1,0.1,63.0,48.0,0.0,3.1,0.8,323.0,79.1,0.0,2.2,0.2,224.0,7.1,0.0,1.1,0.0,259.0,13.8,0.0,2.4,0.0,11.0,9.0,0.0,3.0,0.8,16.0,22.2,0.6,2.4,1.4,544.0,2.8,0.0,0.2,0.0,232.0,20.8,0.0,0.5,0.1,19.0,0.5,0.0,0.1,0.0,119.0,2.5,0.0,0.1,0.0,77.0,0.7,0.0,0.3,0.0
22,Michigan,1377.0,191.9,0.0,3.1,0.1,59.0,43.8,0.0,3.1,0.7,245.0,65.3,0.0,2.8,0.3,220.0,9.1,0.0,1.5,0.0,215.0,8.4,0.0,0.4,0.0,9.0,8.6,0.1,2.2,1.0,15.0,25.3,0.8,2.6,1.7,264.0,3.1,0.0,0.2,0.0,201.0,23.7,0.0,0.7,0.1,16.0,0.5,0.0,0.1,0.0,169.0,2.8,0.0,0.1,0.0,30.0,0.3,0.0,0.0,0.0
