,Region,urbanUtilityScalePV_GWh,urbanUtilityScalePV_GW,urbanUtilityScalePV_km2,ruralUtilityScalePV_GWh,ruralUtilityScalePV_GW,ruralUtilityScalePV_km2,rooftopPV_GWh,rooftopPV_GW,CSP_GWh,CSP_GW,CSP_km2,onshoreWind_GWh,onshoreWind_GW,onshoreWind_km2,offshoreWind_GWh,offshoreWind_GW,offshoreWind_km2,biopowerSolid_GWh,biopowerSolid_GW,biopowerSolid_BDT,biopowerGaseous_GWh,biopowerGaseous_GW,biopowerGaseous_Tonnes-CH4,geothermalHydrothermal_GWh,geothermalHydrothermal_GW,EGSGeothermal_GWh,EGSGeothermal_GW,hydropower_GWh,hydropower_GW,hydropower_countOfSites,all_PV,all_Wind,all_CSP,all_biopower,all_Hydrothermal,all_Geothermal,all_hydropower
0,Alabama,35850,20,426,3706838,2114,44058,15475.0,12,0,0,0,283,0,23,0.0,0.0,0.0,11193,1,10175869,1533,0,326186,0,0,535489.0,67.0,4102,0,2435,2146,0.0,0,1,0,67.0,0
1,Alaska,166,0,2,8282976,9005,187608,,1,0,0,0,1373433,493,98669,,,,513,0,466797,61,0,13156,15437,1,,,23675,5,3053,9006,493.0,0,0,1,0.0,5
2,Arizona,121305,52,1096,11867693,5147,107230,22736.0,14,12544333,3527,107238,26036,10,2180,,,,1087,0,988705,837,0,178188,8329,1,1239147.0,157.0,1303,0,1958,5213,10.0,3527,0,1,157.0,0
3,Arkansas,28960,15,332,4986388,2747,57239,8484.0,6,0,0,0,22892,9,1840,,,,14381,1,13074040,1063,0,226178,0,0,628621.0,79.0,6093,1,3268,2768,9.0,0,1,0,79.0,1
4,California,246008,111,2320,8855917,4010,83549,106411.0,75,8490916,2725,82859,89862,34,6822,2662579.0,654.0,130966.0,12408,1,11280245,15510,1,3300211,130921,16,1344179.0,170.0,30023,6,9692,4196,688.0,2725,2,16,170.0,6
5,Colorado,43470,19,399,10238083,4514,94046,16162.0,11,9154524,3097,94173,1096035,387,77443,,,,2913,0,2648462,1224,0,260470,8953,1,1251657.0,158.0,7789,1,5060,4544,387.0,3097,0,1,158.0,1
6,Connecticut,7716,4,100,19627,12,256,6616.0,5,0,0,0,61,0,5,26545.0,7.0,1434.0,494,0,449775,414,0,88227,0,0,56078.0,7.0,922,0,659,21,7.0,0,0,0,7.0,0
7,Delaware,14856,9,189,272332,167,3482,2185.0,1,0,0,0,21,0,1,60654.0,15.0,3007.0,512,0,465802,385,0,82013,0,0,22813.0,2.0,30,0,25,177,15.0,0,0,0,2.0,0
8,District of Columbia,8,0,0,0,0,0,2490.0,2,0,0,0,0,0,0,,,,61,0,56180,4,0,977,0,0,697.0,0.0,0,0,2,2,0.0,0,0,0,0.0,0
9,Florida,72787,39,830,5137346,2812,58596,63986.0,49,358,0,3,0,0,0,34684.0,9.0,1929.0,9664,1,8785824,3693,0,785787,0,0,374161.0,47.0,682,0,493,2900,9.0,0,1,0,47.0,0
10,Georgia,43166,24,505,5492183,3088,64343,31116.0,24,0,0,0,322,0,26,220807.0,58.0,11725.0,14682,1,13347586,2220,0,472546,0,0,353206.0,44.0,1988,0,2100,3136,58.0,0,1,0,44.0,0
11,Hawaii,3725,1,34,38032,20,430,,2,15369,5,168,7786,2,493,2836735.0,736.0,147389.0,524,0,476459,200,0,42602,20632,2,,,2602,0,437,23,738.0,5,0,2,0.0,0
12,Idaho,23194,12,251,3936847,2045,42612,4051.0,3,3502877,1267,38523,44319,18,3615,,,,5775,0,5250560,182,0,38830,17205,2,993257.0,125.0,18757,4,6706,2060,18.0,1267,0,2,125.0,4
13,Illinois,103551,63,1324,8090985,4969,103524,30086.0,26,0,0,0,649467,249,49976,66070.0,15.0,3174.0,27738,3,25216443,4222,0,898345,0,0,676055.0,85.0,4882,1,1330,5058,264.0,0,3,0,85.0,1
14,Indiana,98815,61,1274,4876185,3018,62890,17151.0,14,0,0,0,377603,148,29645,165.0,0.0,9.0,14941,1,13583318,2978,0,633660,0,0,434258.0,55.0,2394,0,1142,3093,148.0,0,1,0,55.0,0
15,Iowa,27091,15,324,6994159,4020,83762,8646.0,7,0,0,0,1723587,570,114142,,,,27502,3,25002253,1425,0,303277,0,0,606390.0,76.0,2818,0,2398,4042,570.0,0,3,0,76.0,0
16,Kansas,31705,15,317,14500149,6959,144995,8962.0,6,7974255,2884,87697,3101575,952,190474,,,,12104,1,11004052,753,0,160219,0,0,989675.0,125.0,2507,0,3201,6980,952.0,2884,1,0,125.0,0
17,Kentucky,26514,16,338,1823976,1119,23319,12312.0,10,0,0,0,147,0,12,,,,7048,0,6407337,1273,0,271052,0,0,484658.0,61.0,4255,0,1394,1145,0.0,0,0,0,61.0,0
18,Louisiana,55669,32,674,4114605,2394,49876,14368.0,11,0,0,0,934,0,81,1200698.0,340.0,68122.0,14016,1,12741856,857,0,182404,0,0,484271.0,61.0,2423,0,934,2437,340.0,0,1,0,61.0,0
19,Maine,3216,1,40,1100327,658,13722,2443.0,2,0,0,0,28742,11,2250,631960.0,147.0,29483.0,4273,0,3884583,124,0,26542,0,0,377075.0,47.0,3916,0,1373,661,158.0,0,0,0,47.0,0
20,Maryland,28551,18,378,585949,373,7772,14849.0,12,0,0,0,3631,1,296,200852.0,51.0,10381.0,2102,0,1911045,1226,0,260965,0,0,86649.0,10.0,814,0,491,403,52.0,0,0,0,10.0,0
21,Massachusetts,17469,10,228,82204,51,1074,11722.0,10,0,0,0,2827,1,205,799344.0,184.0,36815.0,1045,0,950308,1103,0,234811,0,0,92227.0,11.0,1196,0,560,71,185.0,0,0,0,11.0,0
22,Michigan,50845,33,699,5215639,3443,71740,23527.0,21,0,0,0,143907,59,11808,1739800.0,422.0,84515.0,9358,1,8507307,2539,0,540282,0,0,457850.0,58.0,1180,0,1942,3497,481.0,0,1,0,58.0,0
23,Minnesota,33370,20,419,10792814,6510,135627,14321.0,12,0,0,0,1428524,489,97854,100454.0,29.0,5842.0,20361,2,18510689,1029,0,219074,0,0,369784.0,46.0,1254,0,1391,6542,518.0,0,2,0,46.0,0
24,Mississippi,26366,15,317,4981252,2879,59996,8614.0,6,0,0,0,0,0,0,10172.0,3.0,642.0,14209,1,12918114,1076,0,229076,0,0,559056.0,70.0,2211,0,1536,2900,3.0,0,1,0,70.0,0
25,Missouri,30549,18,376,5335268,3156,65766,16159.0,13,0,0,0,689519,274,54871,,,,11837,1,10761509,2147,0,456990,0,0,835444.0,105.0,7198,1,5089,3187,274.0,0,1,0,105.0,1
26,Montana,11370,6,127,8187341,4402,91724,2194.0,1,1540287,557,16939,2746271,944,188800,,,,4924,0,4477082,147,0,31324,6547,0,1647303.0,208.0,14546,3,6859,4409,944.0,557,0,0,208.0,3
27,Nebraska,12954,6,141,9266756,4869,101456,5336.0,4,4846929,1753,53304,3011252,917,183599,,,,16271,2,14792723,750,0,159729,0,0,927996.0,117.0,3142,0,2880,4879,917.0,1753,2,0,117.0,0
28,Nevada,24893,10,224,8614454,3732,77751,10767.0,7,8295752,2557,77759,17709,7,1449,,,,288,0,262613,325,0,69248,45320,5,1262174.0,160.0,845,0,1489,3749,7.0,2557,0,5,160.0,0
29,New Hampshire,3790,2,48,57363,35,741,2298.0,2,0,0,0,5706,2,427,14477.0,3.0,691.0,953,0,867153,389,0,82889,0,0,104314.0,13.0,1740,0,810,39,5.0,0,0,0,13.0,0
30,New Jersey,44307,25,527,439773,251,5231,15767.0,13,0,0,0,317,0,26,429807.0,101.0,20386.0,1212,0,1101910,2310,0,491691,0,0,35230.0,4.0,549,0,402,289,101.0,0,0,0,4.0,0
31,New Mexico,71356,30,645,16318543,7087,147652,6513.0,4,16812349,4860,147747,1399156,492,98416,,,,595,0,541274,353,0,75228,12933,1,1417978.0,179.0,1362,0,1810,7121,492.0,4860,0,1,179.0,0
32,New York,52803,32,682,1492566,926,19294,28779.0,25,0,0,0,63565,25,5156,614279.0,146.0,29215.0,5558,0,5053081,2950,0,627734,0,0,375400.0,47.0,6711,1,4839,983,171.0,0,0,0,47.0,1
33,North Carolina,68346,37,789,4232789,2346,48892,28419.0,23,0,0,0,2037,0,161,1269626.0,306.0,61204.0,12869,1,11699887,3780,0,804301,0,0,420741.0,53.0,3036,0,2131,2406,306.0,0,1,0,53.0,0
34,North Dakota,4871,2,57,9734447,5482,114227,1916.0,1,36049,13,396,2537824,770,154039,,,,8186,1,7441887,30,0,6383,0,0,820226.0,104.0,347,0,572,5485,770.0,13,1,0,104.0,0
35,Ohio,86495,57,1190,3626181,2395,49908,30064.0,27,0,0,0,129142,54,10983,170561.0,41.0,8360.0,11009,1,10008282,3363,0,715603,0,0,495921.0,62.0,3045,0,1791,2479,95.0,0,1,0,62.0,0
36,Oklahoma,50040,25,533,9341920,4782,99640,12442.0,9,5068036,1812,55113,1521651,516,103364,,,,4128,0,3753137,965,0,205359,0,0,779667.0,98.0,3015,0,2824,4816,516.0,1812,0,0,98.0,0
37,Oregon,25783,12,270,3740478,1884,39266,8322.0,7,2812126,1017,30926,68766,27,5420,962722.0,225.0,45001.0,13793,1,12539176,890,0,189571,18199,2,914105.0,115.0,18184,4,7993,1903,252.0,1017,1,2,115.0,4
38,Pennsylvania,56161,36,754,553356,356,7429,22215.0,19,0,0,0,8230,3,661,23571.0,5.0,1134.0,6313,0,5739609,7132,0,1517540,0,0,327340.0,41.0,8368,1,4466,411,8.0,0,0,0,41.0,1
39,Rhode Island,1787,1,24,13636,8,184,1710.0,1,0,0,0,129,0,9,89114.0,20.0,4193.0,143,0,130452,474,0,100888,0,0,11491.0,1.0,59,0,86,10,20.0,0,0,0,1.0,0
40,South Carolina,33834,19,397,2754973,1555,32398,14412.0,11,0,0,0,427,0,37,542218.0,133.0,26643.0,6984,0,6349820,1430,0,304312,0,0,364104.0,46.0,1888,0,889,1585,133.0,0,0,0,46.0,0
41,South Dakota,4573,2,50,10008873,5344,111350,2082.0,1,1629659,589,17922,2901858,882,176482,,,,8380,1,7618309,235,0,50072,0,0,921972.0,116.0,1047,0,1712,5347,882.0,589,1,0,116.0,0
42,Tennessee,50243,28,595,2225989,1266,26395,19685.0,16,0,0,0,765,0,61,,,,6095,0,5541359,1984,0,422220,0,0,428380.0,54.0,5744,1,2610,1310,0.0,0,0,0,54.0,1
43,Texas,294684,154,3213,38993581,20411,425230,78716.0,60,22786749,7743,235398,5552399,1901,380305,1101062.0,271.0,54288.0,16077,2,14615951,5898,0,1254999,0,0,3030250.0,384.0,3006,0,4366,20625,2172.0,7743,2,0,384.0,0
44,Utah,30492,14,292,5184878,2390,49797,7513.0,5,5067546,1638,49799,31552,13,2620,,,,433,0,394530,427,0,91018,12981,1,939380.0,119.0,3528,0,3394,2409,13.0,1638,0,1,119.0,0
45,Vermont,1632,1,22,54727,35,739,1115.0,1,0,0,0,7795,2,589,,,,491,0,447268,203,0,43248,0,0,35616.0,4.0,1710,0,1207,37,2.0,0,0,0,4.0,0
46,Virginia,27451,15,326,1882467,1074,22377,22266.0,18,0,0,0,4589,1,358,361053.0,89.0,17814.0,7866,0,7151120,2498,0,531592,0,0,290736.0,36.0,3656,0,2601,1107,90.0,0,0,0,36.0,0
47,Washington,33690,19,402,1738150,996,20758,13599.0,13,161713,58,1778,47249,18,3695,488025.0,120.0,24192.0,12311,1,11192456,1514,0,322155,2546,0,563023.0,71.0,27248,6,7310,1028,138.0,58,1,0,71.0,6
48,West Virginia,3023,2,41,52693,35,729,4220.0,3,0,0,0,4951,1,376,,,,2406,0,2188057,281,0,59811,0,0,261376.0,33.0,4408,1,1711,40,1.0,0,0,0,33.0,1
49,Wisconsin,54938,34,727,5042258,3205,66788,13939.0,12,0,0,0,255266,103,20751,317754.0,80.0,16134.0,11221,1,10201440,2072,0,441053,0,0,647173.0,82.0,2286,1,1863,3251,183.0,0,1,0,82.0,1
50,Wyoming,7232,3,75,5727224,2854,59463,1550.0,1,5406407,1955,59457,1653856,552,110414,,,,503,0,457298,50,0,10670,1373,0,1070078.0,135.0,4445,1,2842,2858,552.0,1955,0,0,135.0,1
